list_number,Publication Year,Author,Title,Publication Title,DOI,Url,Pages,Issue,Volume
24,2017,"Handron, Caitlin; Kirby, Teri A.; Wang, Jennifer; Matskewich, Helena E.; Cheryan, Sapna",Unexpected Gains: Being Overweight Buffers Asian Americans From Prejudice Against Foreigners,Psychological Science,10.1177/0956797617720912,https://doi.org/10.1177/0956797617720912,1214-1227,9,28
25,2015,"Hawkins, Carlee Beth; Fitzgerald, Cailey E.; Nosek, Brian A.",In Search of an Association Between Conception Risk and Prejudice,Psychological Science,10.1177/0956797614553121,https://doi.org/10.1177/0956797614553121,249-252,2,26
26,2018,"Hayes, Joseph; Schimel, Jeff",Unintended effects of measuring implicit processes: The case of death-thought accessibility in mortality salience studies,Journal of Experimental Social Psychology,10.1016/j.jesp.2017.10.005,http://www.sciencedirect.com/science/article/pii/S0022103117303517,257-269,,74
27,2017,"Hobson, Nicholas M.; Gino, Francesca; Norton, Michael I.; Inzlicht, Michael",When Novel Rituals Lead to Intergroup Bias: Evidence From Economic Games and Neurophysiology,Psychological Science,10.1177/0956797617695099,https://doi.org/10.1177/0956797617695099,733-750,6,28
28,2018,"Hoover, Joe; Johnson, Kate; Boghrati, Reihane; Graham, Jesse; Dehghani, Morteza",Moral Framing and Charitable Donation: Integrating Exploratory Social Media Analyses and Confirmatory Experimentation,Collabra: Psychology,10.1525/collabra.129,http://www.collabra.org/article/10.1525/collabra.129/,,1,4
29,2017,"Huynh, Alex C.; Oakes, Harrison; Shay, Garrett R.; McGregor, Ian",The Wisdom in Virtue: Pursuit of Virtue Predicts Wise Reasoning About Personal Conflicts,Psychological Science,10.1177/0956797617722621,https://doi.org/10.1177/0956797617722621,1848-1856,12,28
30,2017,"Korn, Christoph W.; Ries, Juliane; Schalk, Lennart; Oganian, Yulia; Saalbach, Henrik",A hard-to-read font reduces the framing effect in a large sample,Psychonomic Bulletin & Review,10.3758/s13423-017-1395-4,https://link.springer.com/article/10.3758/s13423-017-1395-4,01-Aug.,,
31,2017,"Krishnan, Saloni; Watkins, Kate E.; Bishop, Dorothy V.M.","The effect of recall, reproduction, and restudy on word learning: a pre-registered study",BMC Psychology,10.1186/s40359-017-0198-8,https://doi.org/10.1186/s40359-017-0198-8,28,,5
32,2018,"Lange, Florian; Steinke, Alexander; Dewitte, Siegfried",The Pro-Environmental Behavior Task: A laboratory measure of actual pro-environmental behavior,Journal of Environmental Psychology,10.1016/j.jenvp.2018.02.007,http://www.sciencedirect.com/science/article/pii/S0272494418301282,46-54,,56
33,2016,"Lau, Tatiana; Morewedge, Carey K.; Cikara, Mina",Overcorrection for Social-Categorization Information Moderates Impact Bias in Affective Forecasting,Psychological Science,10.1177/0956797616660292,https://doi.org/10.1177/0956797616660292,1340-1351,10,27
34,2017,"Lenne, Richie L.; Mann, Traci",Reducing sugar use in coffee while maintaining enjoyment: A randomized controlled trial,Journal of Health Psychology,10.1177/1359105317723452,https://doi.org/10.1177/1359105317723452,1.36E+15,,
35,2018,"Liu, Hong-Zhi; Li, Shu; Rao, Li-Lin","Out of debt, out of burden: The physical burdens of debt",Journal of Experimental Social Psychology,10.1016/j.jesp.2018.01.003,http://www.sciencedirect.com/science/article/pii/S0022103117306418,155-160,,76
36,2017,"Luque, David; Vadillo, Miguel A.; Lopez, Francisco J.; Alonso, Rafael; Shanks, David R.",Testing the controllability of contextual cuing of visual search,Scientific Reports,10.1038/srep39645,http://www.nature.com/srep/2017/170103/srep39645/full/srep39645.html,39645,,7
37,2017,"Luyten, Laura; Beckers, Tom","A preregistered, direct replication attempt of the retrieval-extinction effect in cued fear conditioning in rats",Neurobiology of Learning and Memory,10.1016/j.nlm.2017.07.014,http://linkinghub.elsevier.com/retrieve/pii/S1074742717301223,208-215,,144
38,2018,"Mackinnon, Sean P.; Firth, Samantha",The effect of question structure on self-reported drinking: Ascending versus descending order effects,Journal of Research in Personality,10.1016/j.jrp.2017.10.004,http://www.sciencedirect.com/science/article/pii/S0092656617301071,21-26,,73
39,2018,"Marsh, Lauren E.; Kanngiesser, Patricia; Hood, Bruce",When and how does labour lead to love? The ontogeny and mechanisms of the IKEA effect,Cognition,10.1016/j.cognition.2017.10.012,http://www.sciencedirect.com/science/article/pii/S0010027717302743,245-253,Supplement C,170
40,2018,"Mehr, Samuel A.; Singh, Manvir; York, Hunter; Glowacki, Luke; Krasnow, Max M.",Form and Function in Human Song,Current Biology,10.1016/j.cub.2017.12.042,http://www.cell.com/current-biology/abstract/S0960-9822(17)31675-5,,0,0
41,2017,"Merk, Samuel; Rosman, Tom; Rueß, Julia; Syring, Marcus; Schneider, Jürgen",Pre-service teachers’ perceived value of general pedagogical knowledge for practice: Relations with epistemic beliefs and source beliefs,PLOS ONE,10.1371/journal.pone.0184971,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0184971,e0184971,9,12
42,2018,"Mischkowski, Dorothee; Thielmann, Isabel; Glöckner, Andreas",Think it through before making a choice? Processing mode does not influence social mindfulness,Journal of Experimental Social Psychology,10.1016/j.jesp.2017.09.001,http://www.sciencedirect.com/science/article/pii/S0022103117302858,85-97,,74
43,2018,"Morisi, Davide; Plescia, Carolina",Learning from the other side: how social networks influence turnout in a referendum campaign,Italian Political Science Review/Rivista Italiana di Scienza Politica,10.1017/ipo.2017.30,https://www.cambridge.org/core/product/identifier/S0048840217000302/type/journal_article,Jan.-21,,
44,2017,"Motz, Benjamin A.; de Leeuw, Joshua R.; Carvalho, Paulo F.; Liang, Kaley L.; Goldstone, Robert L.",A dissociation between engagement and learning: Enthusiastic instructions fail to reliably improve performance on a memory task,PLOS ONE,10.1371/journal.pone.0181775,http://dx.plos.org/10.1371/journal.pone.0181775,e0181775,7,12
45,2017,"Murray, Damian R.; Murphy, Sean C.; Hippel, William von; Trivers, Robert; Haselton, Martie G.",A Preregistered Study of Competing Predictions Suggests That Men Do Overestimate Women’s Sexual Intent,Psychological Science,10.1177/0956797616675474,https://doi.org/10.1177/0956797616675474,253-255,2,28
46,2018,"Oberauer, Klaus",On the Automaticity of Familiarity in Short-term Recognition: A Test of the Dual-Process Assumption with the PRP Paradigm,Journal of Cognition,10.5334/joc.21,http://www.journalofcognition.org/articles/10.5334/joc.21/,,1,1
47,2018,"O'Brien, Ed; Kristal, Alexander C.; Ellsworth, Phoebe C.; Schwarz, Norbert",(Mis)imagining the good life and the bad life: Envy and pity as a function of the focusing illusion,Journal of Experimental Social Psychology,10.1016/j.jesp.2017.10.002,http://www.sciencedirect.com/science/article/pii/S0022103117301932,41-53,,75
48,2018,"Oganian, Yulia; Heekeren, Hauke R; Korn, Christoph W",Low foreign language proficiency reduces optimism about the personal future,Quarterly Journal of Experimental Psychology,10/gdj6sd,https://doi.org/10.1177/1747021818774789,1.75E+15,,
49,2018,"Peters, Scott J.; Jolly, Jennifer L.",The influence of professional development in gifted education on the frequency of instructional practices,The Australian Educational Researcher,10.1007/s13384-018-0260-4,https://link.springer.com/article/10.1007/s13384-018-0260-4,Jan.-19,,
50,2015,"Pittarello, Andrea; Leib, Margarita; Gordon-Hecker, Tom; Shalvi, Shaul",Justifications Shape Ethical Blind Spots,Psychological Science,10.1177/0956797615571018,https://doi.org/10.1177/0956797615571018,794-804,6,26
51,2017,"Poort, Eva D.; Rodd, Jennifer M.",The cognate facilitation effect in bilingual lexical decision is influenced by stimulus list composition,Acta Psychologica,10.1016/j.actpsy.2017.08.008,http://www.sciencedirect.com/science/article/pii/S0001691816302839,52-63,Supplement C,180
52,2017,"Przybylski, Andrew K.; Weinstein, Netta",A Large-Scale Test of the Goldilocks Hypothesis: Quantifying the Relations Between Digital-Screen Use and the Mental Well-Being of Adolescents,Psychological Science,10.1177/0956797616678438,https://doi.org/10.1177/0956797616678438,204-215,2,28
53,2017,"Putnam, Adam L.; Phelps, Riley J.",The citation effect: In-text citations moderately increase belief in trivia claims,Acta Psychologica,10.1016/j.actpsy.2017.07.010,http://www.sciencedirect.com/science/article/pii/S0001691816302104,114-123,,179
54,2017,"Rain, Marina; Cilento, Elena; Macdonald, Geoff; Mar, Raymond A.",Adult attachment and transportation into narrative worlds: Attachment and narrative transportation,Personal Relationships,10.1111/pere.12167,http://doi.wiley.com/10.1111/pere.12167,49-74,1,24
55,2017,"Robey, Alison M.; Dougherty, Michael R.; Buttaccio, Daniel R.",Making Retrospective Confidence Judgments Improves Learners’ Ability to Decide What Not to Study,Psychological Science,10.1177/0956797617718800,https://doi.org/10.1177/0956797617718800,1683-1693,11,28
56,2017,"Rogers, Todd; Moore, Don A.; Norton, Michael I.",The Belief in a Favorable Future,Psychological Science,10.1177/0956797617706706,https://doi.org/10.1177/0956797617706706,1290-1301,9,28
57,2017,"Rosenbaum, David; Mama, Yaniv; Algom, Daniel",Stand by Your Stroop: Standing Up Enhances Selective Attention and Cognitive Control,Psychological Science,10.1177/0956797617721270,https://doi.org/10.1177/0956797617721270,1864-1867,12,28
58,2016,"Sadeh, Talya; Ozubko, Jason D.; Winocur, Gordon; Moscovitch, Morris",Forgetting Patterns Differentiate Between Two Forms of Memory Representation,Psychological Science,10.1177/0956797616638307,https://doi.org/10.1177/0956797616638307,810-820,6,27
59,2017,"Sanchez, Diana T.; Chaney, Kimberly E.; Manuel, Sara K.; Wilton, Leigh S.; Remedios, Jessica D.",Stigma by Prejudice Transfer: Racism Threatens White Women and Sexism Threatens Men of Color,Psychological Science,10.1177/0956797616686218,https://doi.org/10.1177/0956797616686218,445-461,4,28
60,2017,"Schroeder, Juliana; Kardas, Michael; Epley, Nicholas","The Humanizing Voice: Speech Reveals, and Text Conceals, a More Thoughtful Mind in the Midst of Disagreement",Psychological Science,10.1177/0956797617713798,https://doi.org/10.1177/0956797617713798,1745-1762,12,28
61,2018,"Sjåstad, Hallgeir; Baumeister, Roy F.","The Future and the Will: Planning requires self-control, and ego depletion leads to planning aversion",Journal of Experimental Social Psychology,10.1016/j.jesp.2018.01.005,http://www.sciencedirect.com/science/article/pii/S0022103117301968,127-141,,76
62,2017,"Skinner, Allison L.; Meltzoff, Andrew N.; Olson, Kristina R.",“Catching” Social Bias: Exposure to Biased Nonverbal Signals Creates Social Biases in Preschool Children,Psychological Science,10.1177/0956797616678930,https://doi.org/10.1177/0956797616678930,216-224,2,28
63,2018,"Stelter, Marleen; Degner, Juliane",Recognizing Emily and Latisha: Inconsistent Effects of Name Stereotypicality on the Other-Race Effect,Frontiers in Psychology,10.3389/fpsyg.2018.00486,https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00486/full,,,9
64,2018,"Suchotzki, Kristina; De Houwer, Jan; Kleinberg, Bennett; Verschuere, Bruno",Using more different and more familiar targets improves the detection of concealed information,Acta Psychologica,10.1016/j.actpsy.2018.01.010,http://linkinghub.elsevier.com/retrieve/pii/S0001691817305498,65-71,,185
65,2018,"Sullivan, Jessica",The Primacy Effect in Impression Formation: Some Replications and Extensions,Social Psychological and Personality Science,10.1177/1948550618771003,http://journals.sagepub.com/doi/pdf/10.1177/1948550618771003,,,
66,2018,"Sullivan, Jessica; Moss-Racusin, Corinne; Lopez, Michael; Williams, Katherine",Backlash against gender stereotype-violating preschool children,PLOS ONE,10.1371/journal.pone.0195503,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0195503,e0195503,4,13
67,2017,"Sweeney, Allison M.; Freitas, Antonio L.",Construing action abstractly and experiencing autonomy: Implications for physical activity and diet,Motivation and Emotion,10.1007/s11031-017-9645-3,https://link.springer.com/article/10.1007/s11031-017-9645-3,Jan.-17,,
68,2018,"Tamir, Diana I.; Templeton, Emma M.; Ward, Adrian F.; Zaki, Jamil",Media usage diminishes memory for experiences,Journal of Experimental Social Psychology,10.1016/j.jesp.2018.01.006,http://www.sciencedirect.com/science/article/pii/S002210311730505X,161-168,,76
69,2017,"Tankard, Margaret E.; Paluck, Elizabeth Levy",The Effect of a Supreme Court Decision Regarding Gay Marriage on Social Norms and Personal Attitudes,Psychological Science,10.1177/0956797617709594,https://doi.org/10.1177/0956797617709594,1334-1344,9,28
70,2018,"Tappin, Ben M.; McKay, Ryan T.",Investigating the Relationship Between Self-Perceived Moral Superiority and Moral Behavior Using Economic Games,Social Psychological and Personality Science,10.1177/1948550617750736,https://doi.org/10.1177/1948550617750736,1.95E+15,,
71,,"Tewolde, Furtuna G.; Bishop, Dorothy V. M.; Manning, Catherine",Visual Motion Prediction and Verbal False Memory Performance in Autistic Children,Autism Research,10.1002/aur.1915,http://onlinelibrary.wiley.com/doi/10.1002/aur.1915/abstract,n/a-n/a,,
72,2018,"Tong, Jordan; Feiler, Daniel; Ivantsova, Anastasia","Good Choice, Bad Judgment: How Choice Under Uncertainty Generates Overoptimism",Psychological Science,10.1177/0956797617731637,https://doi.org/10.1177/0956797617731637,254-265,2,29
73,2016,"Tworek, Christina M.; Cimpian, Andrei",Why Do People Tend to Infer “Ought” From “Is”? The Role of Biases in Explanation,Psychological Science,10.1177/0956797616650875,https://doi.org/10.1177/0956797616650875,1109-1122,8,27
74,2017,Vanhove Jan,The Influence of Standard and Substandard Dutch on Gender Assignment in Second Language German,Language Learning,10.1111/lang.12230,http://onlinelibrary.wiley.com/doi/abs/10.1111/lang.12230,431-460,2,67
75,2017,"Walco, Daniel K.; Risen, Jane L.",The Empirical Case for Acquiescing to Intuition,Psychological Science,10.1177/0956797617723377,https://doi.org/10.1177/0956797617723377,1807-1820,12,28
76,2017,"Wetzel, Eunike; Brown, Anna; Hill, Patrick L.; Chung, Joanne M.; Robins, Richard W.; Roberts, Brent W.",The Narcissism Epidemic Is Dead; Long Live the Narcissism Epidemic,Psychological Science,10.1177/0956797617724208,https://doi.org/10.1177/0956797617724208,1833-1847,12,28
77,2018,"Wilson, John Paul; Young, Steven G.; Rule, Nicholas O.; Hugenberg, Kurt",Configural processing and social judgments: Face inversion particularly disrupts inferences of human-relevant traits,Journal of Experimental Social Psychology,10.1016/j.jesp.2017.07.007,http://www.sciencedirect.com/science/article/pii/S0022103116302542,01-Jul,,74
78,2017,"Won, Andrea Stevenson; Shriram, Ketaki; Tamir, Diana I.",Social Distance Increases Perceived Physical Distance,Social Psychological and Personality Science,10.1177/1948550617707017,http://journals.sagepub.com/doi/abs/10.1177/1948550617707017,1.95E+15,,
79,2016,"Yeager, David S.; Lee, Hae Yeon; Jamieson, Jeremy P.",How to Improve Adolescent Stress Responses: Insights From Integrating Implicit Theories of Personality and Biopsychosocial Models,Psychological Science,10.1177/0956797616649604,https://doi.org/10.1177/0956797616649604,1078-1091,8,27
80,2015,"Zant, Alex B. Van; Moore, Don A.",Leaders’ Use of Moral Justifications Increases Policy Support,Psychological Science,10.1177/0956797615572909,https://doi.org/10.1177/0956797615572909,934-943,6,26
81,2017,"Zhu, Yuxi; Ritter, Simone M.; Müller, Barbara C. N.; Dijksterhuis, Ap",Creativity: Intuitive processing outperforms deliberative processing in creative idea selection,Journal of Experimental Social Psychology,10.1016/j.jesp.2017.06.009,http://www.sciencedirect.com/science/article/pii/S002210311730118X,180-188,,73
